Name	Resource Type	Domain	Site Code	Client	Approved	Assigned	Blocked	Client Type	Obsolete	Active	
XLWUL-032866	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MRB	System	AREA52	XLW	No	Approved	Yes	No				
TYNRADSYS02	System	AREA52	XLW	No	Approved	Yes	No				
XLWUD-460N4W	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-010918	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493ZG6	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DWW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-4319VY	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-410398	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-432L9Q	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DWQ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-392HQZ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DVV	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-410JMD	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X87	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-440QXB	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-431KJG	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-0327ZF	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X8L	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-430XY1	System	AREA52	XLW	No	Approved	Yes	No				
TYNMDGSGWK37603	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-4121HZ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W5Q	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-0327ZL	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DWF	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03286M	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493XY0	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W4T	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-211313	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z8P	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431YZD	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493ZGX	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W4W	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431BJK	System	AREA52	XLW	No	Approved	Yes	No				
TYNDALLNP-APP	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-100MQ0	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-43203V	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-431KHQ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121NBJ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MR1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-410JL0	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-431YVS	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-032829	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-460N6G	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-OS1KDB	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1016QN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-0310PN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-0327RL	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-410Z7P	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MTN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-430DHG	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1BJFX1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z85	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493ZFW	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-3414FR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W6Q	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-911MD03	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-392HQR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DX1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490WF2	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-480R6N	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-OS1KCY	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-461R1M	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-3414FV	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DM6	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-4121LN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-520SYG	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-FM1YXN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W4S	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DWD	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-440QXQ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-037W94	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DN6	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MT4	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-410JLD	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z7J	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431KPB	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-422G5Q	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X60	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DVW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MS0	System	AREA52	XLW	No	Approved	Yes	No				
TYNCESAAPMSC02	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DVS	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-F1XND1	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-100MQW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-430XYT	System	AREA52	XLW	No	Approved	Yes	No				
TYN53WEGWKN8005	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DYX	System	AREA52	XLW	No	Approved	Yes	No				
